=== Snake RL Training Log ===
Started: 2026-05-30 14:41:10
Log file: logs/training_20260530_144110.log
========================================
Hyperparameters:
  Grid: 20x20
  Network: 11 → 256 → 3
  LR: 0.001, Gamma: 0.9
  Epsilon: 1.0 → 0.01 (decay=0.99)
  Batch: 1000, Memory: 100000
  Rewards: eat=10, die=-10, step=0
========================================
Training dimulai! Tekan Ctrl+C atau tutup window untuk berhenti.

[Episode   91] Score:   0 | Record:   2 | Mean:   0.25 | Epsilon: 0.4007 | Memory:   6175
[Episode   92] Score:   0 | Record:   2 | Mean:   0.25 | Epsilon: 0.3967 | Memory:   6328
[Episode   93] Score:   2 | Record:   2 | Mean:   0.27 | Epsilon: 0.3927 | Memory:   6486
[Episode   94] Score:   1 | Record:   2 | Mean:   0.28 | Epsilon: 0.3888 | Memory:   6562
[Episode   95] Score:   1 | Record:   2 | Mean:   0.28 | Epsilon: 0.3849 | Memory:   6663
[Episode   96] Score:   1 | Record:   2 | Mean:   0.29 | Epsilon: 0.3810 | Memory:   6718
[Episode   97] Score:   1 | Record:   2 | Mean:   0.30 | Epsilon: 0.3772 | Memory:   6861
[Episode   98] Score:   3 | Record:   3 | Mean:   0.33 | Epsilon: 0.3735 | Memory:   6987
[Episode   99] Score:   0 | Record:   3 | Mean:   0.32 | Epsilon: 0.3697 | Memory:   7035
[Episode  100] Score:   0 | Record:   3 | Mean:   0.32 | Epsilon: 0.3660 | Memory:   7121
[Episode  101] Score:   0 | Record:   3 | Mean:   0.32 | Epsilon: 0.3624 | Memory:   7133
[Episode  102] Score:   0 | Record:   3 | Mean:   0.31 | Epsilon: 0.3587 | Memory:   7190
[Episode  103] Score:   1 | Record:   3 | Mean:   0.32 | Epsilon: 0.3552 | Memory:   7255
[Episode  104] Score:   0 | Record:   3 | Mean:   0.32 | Epsilon: 0.3516 | Memory:   7284
[Episode  105] Score:   2 | Record:   3 | Mean:   0.33 | Epsilon: 0.3481 | Memory:   7360
